invoice_date,day,month,year,quarter
05-08-2022 00:00,5,8,2022,3
12-12-2021 00:00,12,12,2021,4
09-11-2021 00:00,9,11,2021,4
16-05-2021 00:00,16,5,2021,2
24-10-2021 00:00,24,10,2021,4
24-05-2022 00:00,24,5,2022,2
13-03-2022 00:00,13,3,2022,1
13-01-2021 00:00,13,1,2021,1
04-11-2021 00:00,4,11,2021,4
22-08-2021 00:00,22,8,2021,3
25-12-2022 00:00,25,12,2022,4
28-10-2022 00:00,28,10,2022,4
31-07-2022 00:00,31,7,2022,3
17-11-2022 00:00,17,11,2022,4
03-06-2022 00:00,3,6,2022,2
07-11-2021 00:00,7,11,2021,4
16-01-2021 00:00,16,1,2021,1
05-01-2022 00:00,5,1,2022,1
26-07-2021 00:00,26,7,2021,3
07-03-2023 00:00,7,3,2023,1
15-02-2023 00:00,15,2,2023,1
01-05-2021 00:00,1,5,2021,2
18-06-2022 00:00,18,6,2022,2
26-10-2021 00:00,26,10,2021,4
16-12-2022 00:00,16,12,2022,4
16-05-2021 00:00,16,5,2021,2
20-04-2022 00:00,20,4,2022,2
10-10-2022 00:00,10,10,2022,4
23-08-2022 00:00,23,8,2022,3
29-04-2021 00:00,29,4,2021,2
04-07-2022 00:00,4,7,2022,3
21-11-2021 00:00,21,11,2021,4
23-02-2022 00:00,23,2,2022,1
11-07-2021 00:00,11,7,2021,3
30-08-2022 00:00,30,8,2022,3
04-01-2023 00:00,4,1,2023,1
21-06-2022 00:00,21,6,2022,2
08-07-2022 00:00,8,7,2022,3
27-02-2022 00:00,27,2,2022,1
19-12-2022 00:00,19,12,2022,4
10-09-2021 00:00,10,9,2021,3
14-02-2022 00:00,14,2,2022,1
28-04-2022 00:00,28,4,2022,2
20-06-2022 00:00,20,6,2022,2
21-04-2022 00:00,21,4,2022,2
09-12-2022 00:00,9,12,2022,4
12-01-2023 00:00,12,1,2023,1
07-11-2022 00:00,7,11,2022,4
07-02-2022 00:00,7,2,2022,1
13-06-2021 00:00,13,6,2021,2
23-08-2021 00:00,23,8,2021,3
24-02-2023 00:00,24,2,2023,1
12-01-2023 00:00,12,1,2023,1
