mall_id,shopping_mall
M05,Kanyon
M03,Forum Istanbul
M07,Metrocity
M08,Metropol AVM
M05,Kanyon
M03,Forum Istanbul
M04,Istinye Park
M06,Mall of Istanbul
M07,Metrocity
M05,Kanyon
M07,Metrocity
M02,Emaar Square Mall
M07,Metrocity
M01,Cevahir AVM
M05,Kanyon
M09,Viaport Outlet
M07,Metrocity
M10,Zorlu Center
M08,Metropol AVM
M01,Cevahir AVM
M02,Emaar Square Mall
M01,Cevahir AVM
M01,Cevahir AVM
M05,Kanyon
M07,Metrocity
M04,Istinye Park
M06,Mall of Istanbul
M02,Emaar Square Mall
M01,Cevahir AVM
M04,Istinye Park
M06,Mall of Istanbul
M02,Emaar Square Mall
M05,Kanyon
M07,Metrocity
M10,Zorlu Center
M02,Emaar Square Mall
M05,Kanyon
M07,Metrocity
M05,Kanyon
M08,Metropol AVM
M10,Zorlu Center
M08,Metropol AVM
M07,Metrocity
M07,Metrocity
M05,Kanyon
M10,Zorlu Center
M06,Mall of Istanbul
M10,Zorlu Center
M10,Zorlu Center
M03,Forum Istanbul
M02,Emaar Square Mall
M04,Istinye Park
M04,Istinye Park
M07,Metrocity
M09,Viaport Outlet
M04,Istinye Park
M05,Kanyon
M05,Kanyon
M05,Kanyon
M05,Kanyon
M06,Mall of Istanbul
M05,Kanyon
M05,Kanyon
M06,Mall of Istanbul
M08,Metropol AVM
M06,Mall of Istanbul
M01,Cevahir AVM
M04,Istinye Park
M07,Metrocity
M06,Mall of Istanbul
M03,Forum Istanbul
M05,Kanyon
M06,Mall of Istanbul
M02,Emaar Square Mall
M02,Emaar Square Mall
M01,Cevahir AVM
M05,Kanyon
M07,Metrocity
M06,Mall of Istanbul
M04,Istinye Park
M02,Emaar Square Mall
M07,Metrocity
M05,Kanyon
M04,Istinye Park
M06,Mall of Istanbul
M05,Kanyon
M10,Zorlu Center
M06,Mall of Istanbul
M06,Mall of Istanbul
M08,Metropol AVM
M05,Kanyon
M05,Kanyon
M05,Kanyon
M07,Metrocity
M06,Mall of Istanbul
M01,Cevahir AVM
M08,Metropol AVM
M03,Forum Istanbul
M05,Kanyon
M06,Mall of Istanbul
M09,Viaport Outlet
M05,Kanyon
M05,Kanyon
M09,Viaport Outlet
M07,Metrocity
M07,Metrocity
M06,Mall of Istanbul
M01,Cevahir AVM
M06,Mall of Istanbul
M04,Istinye Park
M10,Zorlu Center
M02,Emaar Square Mall
M05,Kanyon
M05,Kanyon
