payment_id,payment_method
PM02,Credit Card
PM03,Debit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM02,Credit Card
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM03,Debit Card
PM01,Cash
PM02,Credit Card
PM02,Credit Card
PM03,Debit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM01,Cash
PM03,Debit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM03,Debit Card
PM02,Credit Card
PM02,Credit Card
PM03,Debit Card
PM02,Credit Card
PM02,Credit Card
PM02,Credit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM01,Cash
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM02,Credit Card
PM02,Credit Card
PM03,Debit Card
PM03,Debit Card
PM03,Debit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM01,Cash
PM03,Debit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM03,Debit Card
PM02,Credit Card
PM01,Cash
PM03,Debit Card
PM01,Cash
PM01,Cash
PM03,Debit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM01,Cash
PM01,Cash
PM03,Debit Card
PM01,Cash
PM02,Credit Card
PM03,Debit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM01,Cash
PM01,Cash
PM01,Cash
PM01,Cash
PM03,Debit Card
PM01,Cash
PM03,Debit Card
PM03,Debit Card
PM03,Debit Card
PM03,Debit Card
PM03,Debit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM03,Debit Card
PM02,Credit Card
PM03,Debit Card
PM02,Credit Card
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM01,Cash
PM03,Debit Card
PM01,Cash
PM01,Cash
PM01,Cash
PM01,Cash
PM03,Debit Card
PM02,Credit Card
PM02,Credit Card
PM02,Credit Card
PM03,Debit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM03,Debit Card
PM03,Debit Card
PM01,Cash
PM03,Debit Card
PM01,Cash
PM01,Cash
PM01,Cash
PM01,Cash
PM01,Cash
PM01,Cash
PM03,Debit Card
PM01,Cash
PM02,Credit Card
PM02,Credit Card
PM01,Cash
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
PM02,Credit Card
PM02,Credit Card
PM01,Cash
PM01,Cash
PM02,Credit Card
